song_id,image_url,published_date,singer,title
35868657,https://cdnimg.melon.co.kr/cm2/album/images/111/10/911/11110911_20221125150312_500.jpg?a8e6128323b24e5a0c2be07ec78cf57d/melon/resize/282/quality/80/optimize,2022.11.28,Red Velvet (레드벨벳),Birthday
34930368,https://cdnimg.melon.co.kr/cm2/album/images/109/26/502/10926502_20220420071020_500.jpg?8c6377ae72a311f6c1d593c757d1361b/melon/resize/282/quality/80/optimize,2022.04.20,볼빨간사춘기,Love story
33658563,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg?9e8cfc795c83ac2ab6b4f79f967a2a2e/melon/resize/282/quality/80/optimize,2021.07.09,"The Kid LAROI, Justin Bieber",STAY
35779025,https://cdnimg.melon.co.kr/cm2/album/images/110/89/457/11089457_20221028103340_500.jpg?8ca61a6bb95214f0575178534df6fd04/melon/resize/282/quality/80/optimize,2022.10.28,진,The Astronaut
35413033,https://cdnimg.melon.co.kr/cm2/album/images/110/04/992/11004992_20220722175827_500.jpg?7925173e004f56f8d081fdec56fbaa15/melon/resize/282/quality/80/optimize,2022.07.15,ITZY (있지),SNEAKERS
35238221,https://cdnimg.melon.co.kr/cm2/album/images/109/72/706/10972706_20220708111110_500.jpg?860055b1bb681dd2f02d8e8573ef9da3/melon/resize/282/quality/80/optimize,2022.06.01,aespa,도깨비불 (Illusion)
34845949,https://cdnimg.melon.co.kr/cm2/album/images/109/08/834/10908834_20220404174407_500.jpg?3b0d20a04b395a89bdade1b70a5dd46d/melon/resize/282/quality/80/optimize,2022.04.05,BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
35779712,https://cdnimg.melon.co.kr/cm2/album/images/110/89/677/11089677_20221028155256_500.jpg?553123e9ddf82c08fa8365f051ecc2e3/melon/resize/282/quality/80/optimize,2022.10.30,경서,고백연습
35505810,https://cdnimg.melon.co.kr/cm2/album/images/110/23/572/11023572_20220805140858_500.jpg?8386a42c9c3c2549e6ad6f9a76d8668f/melon/resize/282/quality/80/optimize,2022.08.07,탑현,사랑한다고 말해줘
34772475,https://cdnimg.melon.co.kr/cm2/album/images/108/94/554/10894554_20220321100622_500.jpg?d53e7525c3212538fa0b850bca4e7369/melon/resize/282/quality/80/optimize,2022.03.21,Red Velvet (레드벨벳),Feel My Rhythm
